productID,product_name,product_price,number_of_ordered_items,order_status,customer_name,location,latitude,longitude,channel_of_ordering,date
P00011,Smartwatch,244.74,2,In Process,Heather Swanson,Arizona,33.729759,-111.431221,Phone,45292
P00011,Scanner,270.96,5,Delivered,Kerry Hanson,Illinois,40.349457,-88.986137,Website,45293
P00011,USB Drive,5.44,2,Canceled,Antonio Warner,Pennsylvania,40.590752,-77.209755,Social Media,45293
P00004,Printer,279.8,1,Canceled,Rachel Murphy,Connecticut,41.597782,-72.755371,Website,45293
P00007,Tablet,796.53,2,In Process,Erik Sandoval,Mississippi,32.741646,-89.678696,Phone,45293
P00006,Power Bank,49.38,1,In Process,Kristy Morgan,Delaware,39.318523,-75.507141,Website,45294
P00004,Charger,18.02,2,Canceled,Allison Richardson,Oklahoma,35.565342,-96.928917,Social Media,45294
P00013,Tablet,398.73,4,Canceled,Melissa Mendez,Illinois,40.349457,-88.986137,Mobile App,45294
P00015,Power Bank,87.43,4,On Hold,Anthony Reeves,Massachusetts,42.230171,-71.530106,Physical,45295
P00017,Mouse,19.42,1,On Hold,Angelica Knight,Florida,27.766279,-81.686783,Mobile App,45295
P00018,Power Bank,91.69,2,On Hold,Michael Miller,Michigan,43.326618,-84.536095,Website,45295
P00008,Power Bank,49.23,1,Canceled,Kayla Jackson,West Virginia,38.491226,-80.954456,Website,45295
P00013,Smartwatch,256.77,5,Canceled,Marco Jennings,Colorado,39.059811,-105.311104,Phone,45295
P00004,VR Headset,811.34,1,Canceled,Ryan Lopez,Arkansas,34.969704,-92.373123,Mobile App,45296
P00012,Laptop,1938.62,3,Delivered,Danielle Hall,Florida,27.766279,-81.686783,Social Media,45296
P00013,Drone,1708.47,1,Delivered,Maria Wolfe,Utah,40.150032,-111.862434,Phone,45296
P00018,Printer,346.36,2,In Process,Sarah Mcdaniel,New Jersey,40.298904,-74.521011,Physical,45299
P00002,Tablet,777.81,4,Canceled,Eric Arnold,North Carolina,35.630066,-79.806419,Physical,45301
P00003,Headphones,134.21,1,Canceled,Debra Wright,Pennsylvania,40.590752,-77.209755,Physical,45301
P00015,Projector,306.74,5,In Process,Blake Elliott,Tennessee,35.747845,-86.692345,Social Media,45301
P00023,Graphics Card,1166.64,5,On Hold,Michael Hill,Alaska,61.370716,-152.404419,Social Media,45301
P00024,Projector,536.19,5,Delivered,Christopher Wright,Texas,31.054487,-97.563461,Mobile App,45301
P00024,Headphones,294.27,2,In Process,David Scott,Vermont,44.045876,-72.710686,Phone,45302
P00017,Monitor,913.12,4,Delivered,Samantha Baker,Minnesota,45.694454,-93.900192,Physical,45302
P00022,Laptop,1843.37,2,Canceled,Stephanie Payne,Rhode Island,41.680893,-71.51178,Phone,45302
P00008,Hard Disk,68.62,3,On Hold,Anthony Sanchez,Michigan,43.326618,-84.536095,Social Media,45302
P00011,Camera,1553.53,5,Canceled,Lance Crosby,New Hampshire,43.452492,-71.563896,Website,45302
P00023,Charger,15.66,5,Canceled,Ricardo Morrow,Louisiana,31.169546,-91.867805,Social Media,45303
P00001,Gaming Console,392.04,2,Canceled,Samantha Delgado,Hawaii,21.094318,-157.498337,Social Media,45303
P00004,Laptop,646.55,3,Delivered,Dr. Heather Burnett,Tennessee,35.747845,-86.692345,Social Media,45303
P00012,Mouse,44.42,3,Delivered,Nathan Morales,New Mexico,34.840515,-106.248482,Phone,45304
P00018,Hard Disk,107.94,5,On Hold,Joshua Howard,Texas,31.054487,-97.563461,Phone,45304
